Neighborhood Code,Neighborhood Name,Sum of empty office space (2012),Security Category,Economic Activity
A00,Burgwallen - Oude Zijde,,4,
A01,Burgwallen - Nieuwe Zijde,,5,
A02,Grachtengordel - West,,3,
A03,Grachtengordel - Zuid,,4,
A04,Nieuwmarkt/Lastage,,3,
A05,Haarlemmerbuurt,,3,
A06,Jordaan,,4,
A07,Weteringschans,,5,
A08,Weesperbuurt/Plantage,,2,
A09,Oostelijke Eilanden/Kadijken,,3,
B10,Westelijk Havengebied,,1,
B11,Bedrijventerrein Sloterdijk,,1,
E12,Houthavens,,3,
E13,Spaarndammer- en Zeeheldenbuurt,,1,
E14,Staatsliedenbuurt,,2,
E15,Centrale Markt,,1,
E16,Frederik Hendrikbuurt,,2,
E17,Da Costabuurt,,2,
E18,Kinkerbuurt,,2,
E19,Van Lennepbuurt,,2,
E20,Helmersbuurt,,2,
E21,Overtoomse Sluis,,2,
E22,Vondelbuurt,,2,
E36,Sloterdijk,,1,
E37,Landlust,,3,
E38,Erasmuspark,,2,
E39,De Kolenkit,,2,
E40,De Krommert,,3,
E41,Van Galenbuurt,,1,
E42,Hoofdweg e.o.,,2,
E43,Westindische Buurt,,1,
F75,Spieringhorn,,1,
F76,Slotermeer-Noordoost,,2,
F77,Slotermeer-Zuidwest,,3,
F78,Geuzenveld,,2,
F79,Eendracht,,1,
F80,Lutkemeer/Ookmeer,,1,
F81,Osdorp-Oost,,3,
F82,Osdorp-Midden,,3,
F83,De Punt,,1,
F84,Middelveldsche Akerpolder/Sloten,,2,
F85,Slotervaart,,3,
F86,Overtoomse Veld,,3,
F87,Westlandgracht,,2,
F88,Sloter-/Riekerpolder,,2,
K24,Oude Pijp,,4,
K25 ,Nieuwe Pijp,,3,
K26,Diamantbuurt,,1,
K44,Hoofddorppleinbuurt,,2,
K45,Schinkelbuurt,,1,
K46,Willemspark,,1,
K47,Museumkwartier,,3,
K48,Stadionbuurt,,2,
K49,Apollobuurt,,2,
K50,Duivelseiland,,1,
K52,Scheldebuurt,,3,
K53,IJselbuurt,,1,
K54,Rijnbuurt,,2,
K59,Station Zuid/WTC e.o.,,2,
K90,Buitenveldert-West,,3,
K91,Buitenveldert-Oost,,2,
M27,Weesperzijde,,2,
M28,Oosterparkbuurt,,3,
M29,Dapperbuurt,,3,
M30,Transvaalbuurt,,2,
M31,Indische Buurt West,,3,
M32,Indische Buurt Oost,,2,
M33 ,Oostelijk Havengebied,,3,
M34 ,Zeeburgereiland/Nieuwe Diep,,1,
M35,IJburg West,,1,
M51,IJburg Zuid,,2,
M55,Frankendael,,3,
M56,Middenmeer,,3,
M57,Betondorp,,1,
M58,De Omval,,1,
N60,Volewijck,,2,
N61,IJplein/Vogelbuurt,,2,
N62,Tuindorp Nieuwendam,,1,
N63,Tuindorp Buiksloot,,1,
N64,Nieuwendammerdijk/Buiksloterdijk,,1,
N65,Tuindorp Oostzaan,,1,
N66,Oostzanerwerf,,1,
N67,Kadoelen,,2,
N68,Nieuwendam-Noord,,2,
N69,Buikslotermeer,,3,
N70,Banne Buiksloot,,2,
N71,Buiksloterham,,1,
N72,Nieuwendammerham,,1,
N73,Waterland,,1,
T92,Amstel III/Bullewijk,,1,
"T93,""Bijlmer Centrum (D,F,H)"",,4,"
"T94,""Bijlmer Oost (E,G,K)"",,4,"
T95,Nellestein,,1,
T96,Holendrecht/Reigersbos,,3,
T97,Gein,,2,
T98 ,Driemond,,1,
,,,,
,,,,
,,,Legenda:,Number of Crimes in 2013
,,,1,1 -< 500
,,,2,500 -<1000
,,,3,1000 -< 2000
,,,4,2000 -< 4000
,,,5,4000 -< 8510
